"","psraid","sample","state","cregion","usr","intuse","pialql1","smart3","pial1a","pial1b","pial1c","pial1d","pial1e","pial1f","pial1g","pial1h","pial1i","pial1j","pial1k","pial2","pial3a","pial3b","pial3c","pial3d","pial3e","pial3f","pial3g","pial3h","pial3i","pial4","pial5","pial6a","pial6b","pial6c","pial7a","pial7b","pial7c","pial7d","pial7e","pial7f","pial7g","pial7h","pial7i","pial7j","pial7k","pial8a","pial8b","pial8c","pial8d","pial8e","pial8f","pial8g","pial8h","pial8i","pial8j","pial8k","act87","act112","pial9a","pial9b","pial9c","pial9d","pial9e","pial9f","pial9g","pial9h","pial9i","pial9j","pial10","pial11a","pial11b","pial11c","pial11d","pial11e","pial11f","pial11g","pial11h","pial12","pial13","ql1a","qc1","hh1","employ","par","sex","age","marital","educ2","hisp","race","inc","income","reg","party","partyln","ideo","tp","weight","standwt"
"67",100446,1,35,4,"R",1,2,NA,1,1,1,2,2,2,1,1,2,2,1,1,3,3,1,1,1,3,1,3,3,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,NA,4,3,2,1,18,6,3,1,1,3,1,1,1,NA,1,3,6.24137931034483,1.86603909070079
"68",100457,1,49,4,"S",1,1,2,2,2,2,2,2,2,2,8,2,2,2,2,1,1,2,3,2,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,1,1,NA,NA,2,1,2,1,18,6,5,2,1,6,3,1,3,1,8,3,1.86206896551724,0.556718844739461
"69",100463,1,42,1,"S",1,1,1,1,2,2,1,2,8,1,1,1,1,1,2,4,4,4,3,4,9,4,9,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,2,2,3,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,9,2,NA,NA,3,3,1,2,52,1,4,2,1,5,2,1,3,1,1,1,4.24137931034483,1.26808181301766
"71",100482,1,35,4,"S",1,1,1,8,8,2,2,3,2,3,2,2,2,8,2,1,2,2,3,2,2,2,2,1,2,2,2,8,2,2,2,1,1,1,2,2,3,2,2,2,1,2,2,8,8,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,3,2,1,64,1,7,2,1,8,4,1,2,NA,3,2,1.3448275862069,0.402074721200722
"77",100536,1,45,3,"S",1,2,NA,2,2,2,2,2,8,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,8,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,2,2,2,2,2,2,2,8,9,2,NA,1,9,2,2,62,9,5,2,1,99,1,1,2,NA,9,2,1.55172413793103,0.463932370616217
"78",100541,1,21,3,"S",1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,NA,NA,1,1,1,2,60,1,6,2,2,6,3,1,2,NA,1,2,1,0.298978638841562
"79",100547,1,49,4,"S",1,1,1,1,1,2,2,1,2,1,1,8,1,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,NA,NA,2,1,1,1,99,1,6,2,1,6,3,1,1,NA,2,3,1.31034482758621,0.391765112964806
"80",100552,1,12,3,"S",1,1,2,1,1,1,8,1,2,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,2,2,1,21,6,3,2,1,6,3,3,3,9,3,2,2.58620689655172,0.773220617693695
"81",100553,1,20,2,"U",1,1,1,8,8,1,2,8,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,8,1,NA,NA,1,1,2,1,50,6,8,2,1,8,4,1,3,1,2,9,1.51724137931035,0.453622762380301
"82",100555,1,37,3,"S",1,1,1,2,2,2,2,1,2,8,1,2,8,8,2,3,3,1,3,3,2,1,1,1,1,2,1,2,2,1,2,2,8,2,2,8,1,2,2,8,2,8,2,2,2,2,2,2,8,2,2,1,2,1,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,1,1,NA,NA,1,1,1,2,39,1,3,2,2,5,2,1,2,NA,5,3,3.89655172413793,1.1649857306585
"83",100565,1,19,2,"U",1,1,2,8,8,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,1,NA,NA,2,3,2,2,60,1,6,2,1,99,9,1,3,9,8,3,1.17241379310345,0.350526680021142
"85",100569,1,27,2,"R",1,1,2,8,8,8,8,2,8,2,2,2,1,8,2,1,1,1,1,1,1,1,1,1,2,2,9,9,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,8,2,NA,NA,1,1,2,1,52,6,3,2,1,6,3,1,3,1,2,3,1.68965517241379,0.505170803559881
"86",100574,1,36,1,"S",1,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,1,2,1,57,3,8,2,3,7,4,1,2,NA,3,3,1.79310344827586,0.536099628267629
"88",100583,1,48,3,"U",1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,2,1,2,2,2,1,2,8,1,2,2,1,1,2,2,2,2,2,2,1,2,2,3,2,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,NA,NA,2,3,2,2,83,1,6,2,1,7,4,1,2,NA,3,2,1.13793103448276,0.340217071785226
"89",100589,1,26,2,"S",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,3,3,3,5,5,5,1,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,2,2,2,2,NA,NA,1,3,2,2,81,5,3,2,1,3,1,1,3,1,2,3,1.79310344827586,0.536099628267629
"90",100592,1,33,1,"R",1,2,NA,8,1,1,3,8,3,2,2,2,2,1,2,1,3,1,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,NA,1,2,2,1,63,6,6,2,1,4,2,3,4,9,9,3,1,0.298978638841562
"91",100594,1,18,2,"U",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,3,3,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,NA,NA,2,3,2,1,78,1,8,2,1,8,4,3,4,9,1,3,1.27586206896552,0.38145550472889
"93",100609,1,55,2,"S",1,1,1,8,1,1,2,3,2,2,1,2,8,1,1,2,2,2,1,2,2,2,1,5,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,NA,2,3,2,2,74,1,2,2,1,5,2,1,1,NA,2,1,1.86206896551724,0.556718844739461
"94",100619,1,4,4,"U",1,1,2,8,2,2,2,2,2,2,2,2,2,2,1,3,1,2,3,2,3,2,1,5,2,2,2,1,2,1,2,2,1,2,2,8,1,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,2,2,2,2,2,1,2,NA,NA,1,3,2,1,69,1,6,2,1,5,2,1,3,1,2,3,1,0.298978638841562
"95",100634,1,6,4,"U",1,2,NA,8,2,2,3,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,1,2,9,1,2,3,2,2,2,1,8,1,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,NA,1,3,2,1,67,3,2,2,1,99,9,3,4,9,4,3,3.17241379310345,0.948483957704267
"96",100639,1,4,4,"U",1,2,NA,1,2,2,2,2,1,2,2,2,2,1,2,3,3,3,3,3,3,2,1,3,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,NA,2,3,1,1,42,1,3,2,1,1,1,1,3,9,4,3,5.96551724137931,1.78356222481346
"97",100662,1,1,3,"R",1,2,NA,8,8,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,NA,1,3,2,2,68,5,3,2,1,99,9,1,3,1,1,1,1.79310344827586,0.536099628267629
"98",100669,1,13,3,"U",1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,5,5,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,2,2,2,1,NA,NA,3,1,2,1,56,1,8,2,2,9,4,1,4,9,2,1,1.89655172413793,0.567028452975377
